aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
4876,삼성동중앙하이츠빌리지,1168010500,삼성동,2004,14-1,37.5159844,127.0462102,NULL,204400,10
4877,삼성동롯데아파트,1168010500,삼성동,2000,17,37.5177621,127.0485461,NULL,159529,14
4878,삼성동브라운스톤레전드,1168010500,삼성동,2009,8-2,37.5154901,127.0423523,NULL,283500,4
4879,채널리저브,1168010500,삼성동,2007,144-14,37.5079717,127.0553302,NULL,122500,4
4880,삼성동헤렌하우스2(82-1),1168010500,삼성동,2010,82-1,37.519352,127.0610975,NULL,233333,3
4881,"현대힐스테이트 2단지",1168010500,삼성동,2008,50,37.5138493,127.0515142,NULL,193829,35
4882,대치삼성,1168010600,대치동,2000,1014-3,37.4965682,127.0588507,NULL,185092,42
4883,선릉역대우아이빌(890-49),1168010600,대치동,2004,890-49,37.5044448,127.0515902,NULL,24770,5
4884,대치현대,1168010600,대치동,1999,974,37.50082889999999,127.0608409,NULL,150371,33
4885,한보미도맨션2,1168010600,대치동,1985,511,37.4935161,127.0673376,NULL,242203,34
4886,한보미도맨션1,1168010600,대치동,1983,511,37.4935161,127.0673376,NULL,258515,33
4887,청원,1168010600,대치동,2005,934-1,37.4984102,127.0559528,NULL,88667,3
4888,은마,1168010600,대치동,1979,316,37.4974576,127.0653265,NULL,183260,186
4889,선경1차(1동-7동),1168010600,대치동,1983,506,37.4920987,127.0625605,NULL,271541,27
4890,은마,1168010600,대치동,1980,316,37.4974576,127.0653265,NULL,NULL,NULL
4891,동부센트레빌,1168010600,대치동,2005,670,37.4925092,127.0559479,NULL,308698,43
4892,"신성아파트 101동",1138010900,신사동,1996,622,37.5261447,127.0320408,NULL,102625,4
4893,"신사 아크존2",1138010900,신사동,2005,606-2,37.5248516,127.0307067,NULL,104000,2
